case_id,mat2_before,spf_before,final_domains,action,message
000,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
001,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
002,"[1, 3, 13]","[1, 3, 13]","[1, 3, 13]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
000,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
001,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
002,"[1, 3, 13]","[1, 3, 13]","[1, 3, 13]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
003,"[1, 3, 4, 13]","[1, 3, 4, 13]","[1, 3, 13]",FIXED,"需要修正：mat2=[1, 3, 4, 13], spf=[1, 3, 4, 13] -> final=[1, 3, 13]; read_mode=api"
004,"[1, 3, 11]","[1, 3, 11]","[1, 3, 11]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
005,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
006,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
007,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
008,"[1, 3, 9]","[1, 3, 9]","[1, 3, 9]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
009,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
010,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
011,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
012,"[1, 3, 13]","[1, 3, 13]","[1, 3, 13]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
013,"[1, 3, 9]","[1, 3, 9]","[1, 3, 9]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
014,"[1, 3, 8]","[1, 3, 8]","[1, 3, 8]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
015,"[1, 3, 8, 9]","[1, 3, 8, 9]","[1, 3, 9]",FIXED,"需要修正：mat2=[1, 3, 8, 9], spf=[1, 3, 8, 9] -> final=[1, 3, 9]; read_mode=api"
016,"[1, 3, 13]","[1, 3, 13]","[1, 3, 13]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
017,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
018,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
019,"[1, 3, 9]","[1, 3, 9]","[1, 3, 9]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
020,"[1, 3, 15]","[1, 3, 15]","[1, 3, 15]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
021,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
022,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
023,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
024,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
025,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
026,"[1, 3, 5, 6]","[1, 3, 5, 6]","[1, 3, 6]",FIXED,"需要修正：mat2=[1, 3, 5, 6], spf=[1, 3, 5, 6] -> final=[1, 3, 6]; read_mode=api"
027,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
028,"[1, 3, 14]","[1, 3, 14]","[1, 3, 14]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
029,"[1, 3, 13]","[1, 3, 13]","[1, 3, 13]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
030,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
031,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
032,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
033,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
034,"[1, 3, 12]","[1, 3, 12]","[1, 3, 12]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
035,"[1, 3, 9]","[1, 3, 9]","[1, 3, 9]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
036,"[1, 3, 8]","[1, 3, 8]","[1, 3, 8]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
037,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
038,"[1, 3, 9]","[1, 3, 9]","[1, 3, 9]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
039,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
040,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
041,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
042,"[1, 3, 12]","[1, 3, 12]","[1, 3, 12]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
043,"[1, 3, 9]","[1, 3, 9]","[1, 3, 9]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
044,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
045,"[1, 3, 16]","[1, 3, 16]","[1, 3, 16]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
046,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
047,"[1, 3, 14]","[1, 3, 14]","[1, 3, 14]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
048,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
049,"[1, 3, 13]","[1, 3, 13]","[1, 3, 13]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
050,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
051,"[1, 3, 8]","[1, 3, 8]","[1, 3, 8]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
052,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
053,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
054,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
055,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
056,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
057,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
058,"[1, 3, 4, 14]","[1, 3, 4, 14]","[1, 3, 14]",FIXED,"需要修正：mat2=[1, 3, 4, 14], spf=[1, 3, 4, 14] -> final=[1, 3, 14]; read_mode=api"
059,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
060,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
061,"[1, 3, 8]","[1, 3, 8]","[1, 3, 8]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
062,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
063,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
064,"[1, 3, 4, 14]","[1, 3, 4, 14]","[1, 3, 14]",FIXED,"需要修正：mat2=[1, 3, 4, 14], spf=[1, 3, 4, 14] -> final=[1, 3, 14]; read_mode=api"
065,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
066,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
067,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
068,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
069,"[1, 3, 12]","[1, 3, 12]","[1, 3, 12]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
070,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
071,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
072,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
073,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
074,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
075,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
076,"[1, 3, 13]","[1, 3, 13]","[1, 3, 13]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
077,"[1, 3, 13]","[1, 3, 13]","[1, 3, 13]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
078,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
079,"[1, 3, 6, 7]","[1, 3, 6, 7]","[1, 3, 7]",FIXED,"需要修正：mat2=[1, 3, 6, 7], spf=[1, 3, 6, 7] -> final=[1, 3, 7]; read_mode=api"
080,"[1, 3, 15]","[1, 3, 15]","[1, 3, 15]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
081,"[1, 3, 11]","[1, 3, 11]","[1, 3, 11]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
082,"[1, 3, 8]","[1, 3, 8]","[1, 3, 8]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
083,"[1, 3, 15]","[1, 3, 15]","[1, 3, 15]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
084,"[1, 3, 9]","[1, 3, 9]","[1, 3, 9]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
085,"[1, 3, 11]","[1, 3, 11]","[1, 3, 11]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
086,"[1, 3, 9]","[1, 3, 9]","[1, 3, 9]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
087,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
088,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
089,"[1, 3, 8]","[1, 3, 8]","[1, 3, 8]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
090,"[1, 3, 7]","[1, 3, 7]","[1, 3, 7]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
091,"[1, 3, 15]","[1, 3, 15]","[1, 3, 15]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
092,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
093,"[1, 3, 8]","[1, 3, 8]","[1, 3, 8]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
094,"[1, 3, 8]","[1, 3, 8]","[1, 3, 8]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
095,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
096,"[1, 3, 12]","[1, 3, 12]","[1, 3, 12]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
097,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
098,"[1, 3, 8]","[1, 3, 8]","[1, 3, 8]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
099,"[1, 3, 16]","[1, 3, 16]","[1, 3, 16]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
100,"[1, 3, 6]","[1, 3, 6]","[1, 3, 6]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
101,"[1, 3, 11]","[1, 3, 11]","[1, 3, 11]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
102,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
103,"[1, 3, 10]","[1, 3, 10]","[1, 3, 10]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
104,"[1, 3, 9]","[1, 3, 9]","[1, 3, 9]",OK,当前 mat2/spf 域选择正确，无需修正; read_mode=api
